City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Abu Samrah,SY,35.3029,37.1841,41.74,80,0,10.36,clear sky
272,Fort Frances,CA,48.5999,-93.4003,13.15,51,38,1.99,scattered clouds
273,Maceio,BR,-9.6658,-35.7353,80.04,83,40,6.91,scattered clouds
274,Vierzon,FR,47.2101,2.0625,46.99,82,2,4,clear sky
275,Jiangyou,CN,31.7667,104.7167,59.49,63,16,4.68,few clouds
276,Nanortalik,GL,60.1432,-45.2371,25.92,80,100,6.67,overcast clouds
277,Guerrero Negro,MX,27.9769,-114.0611,62.01,85,2,14.38,clear sky
278,Saldanha,ZA,-33.0117,17.9442,62.65,70,34,4.65,scattered clouds
279,Terrasini,IT,38.146,13.0844,60.46,41,100,8.46,overcast clouds
280,Sayat,TM,38.7839,63.8803,40.87,51,6,7.11,clear sky
281,Lavrentiya,RU,65.5833,-171,18.64,89,100,2.44,overcast clouds
282,Doctor Arroyo,MX,23.6667,-100.1833,59.16,23,11,7.67,few clouds
283,Malinovskiy,RU,61.1953,62.8397,17.15,93,100,10.74,light snow
284,Great Falls,US,47.5002,-111.3008,52.41,32,75,9.22,broken clouds
285,Xuddur,SO,4.1213,43.8894,72.21,81,9,11.23,clear sky
286,Koslan,RU,63.4564,48.8989,22.69,94,100,13.11,snow
287,Tailai,CN,46.3833,123.4,38.44,46,30,12.73,scattered clouds
288,Luderitz,NA,-26.6481,15.1594,65.14,63,0,7.83,clear sky
289,Hofn,IS,64.2539,-15.2082,45.09,95,100,9.51,overcast clouds
290,Semey,KZ,50.4111,80.2275,32.22,86,100,4.47,overcast clouds
291,Vila Do Maio,CV,15.1333,-23.2167,68.79,77,80,10.58,broken clouds
292,Kotri,PK,25.366,68.3122,82.8,17,11,10.4,few clouds
293,Kenai,US,60.5544,-151.2583,42.03,52,20,9.22,few clouds
294,Boden,SE,65.8252,21.6886,15.8,92,96,2.13,overcast clouds
295,Mount Gambier,AU,-37.8333,140.7667,80.51,28,57,11.5,broken clouds
296,Bafra,TR,41.5678,35.9069,38.41,78,1,8.03,clear sky
297,Mezen,RU,65.8522,44.24,14,71,100,12.88,overcast clouds
298,Gazojak,TM,41.1875,61.4036,39.63,71,8,8.46,clear sky
299,Fort-Shevchenko,KZ,44.5086,50.263,40.66,86,77,13.53,broken clouds
300,Tshikapa,CD,-6.4167,20.8,70.74,92,94,1.59,overcast clouds
301,Chebsara,RU,59.2002,38.8356,20.53,91,100,19.01,light snow
302,Esperance,AU,-33.8667,121.9,66.04,83,100,17.58,overcast clouds
303,Mount Isa,AU,-20.7333,139.5,91.17,15,0,9.22,clear sky
304,Kita,ML,13.0349,-9.4895,85.57,18,100,2.73,overcast clouds
305,Haines Junction,CA,60.7522,-137.5108,35.55,48,100,11.5,overcast clouds
306,Alice Springs,AU,-23.7,133.8833,78.35,17,0,8.05,clear sky
307,Kargil,IN,34.5667,76.1,16.9,58,0,3,clear sky
308,Muskogee,US,35.5834,-95.3336,58.33,37,0,6.51,clear sky
309,Chokwe,MZ,-24.5333,32.9833,67.77,95,7,0.38,clear sky
310,Vizovice,CZ,49.2229,17.8545,50.58,80,89,6.82,overcast clouds
311,Burns Lake,CA,54.2331,-125.7533,38.62,86,77,2.01,broken clouds
312,Shingu,JP,33.7333,135.9833,65.77,54,10,3.29,clear sky
313,Tessalit,ML,20.1986,1.0114,80.64,13,30,10.58,scattered clouds
314,Seoul,KR,37.5683,126.9778,52.99,55,0,5.75,clear sky
315,Chuy,UY,-33.6971,-53.4616,62.96,83,17,8.99,few clouds
316,Nador,MA,35.174,-2.9287,53.85,87,0,4.61,clear sky
317,Faya,SA,18.3851,42.4509,57.31,48,51,3.91,broken clouds
318,Aguie,NE,13.506,7.7786,70.52,12,31,10.13,scattered clouds
319,Nelson Bay,AU,-32.7167,152.15,72,90,100,1.01,light rain
320,Tura,IN,25.5198,90.2201,77.04,65,0,2.53,clear sky
321,Faanui,PF,-16.4833,-151.75,82.33,71,30,12.88,scattered clouds
322,Lewistown,US,40.5992,-77.5714,39.25,100,100,10.36,overcast clouds
323,Gigmoto,PH,13.7796,124.39,83.98,72,11,8.66,few clouds
324,Mgandu,TZ,-5.95,34.1333,59.38,94,75,4.09,broken clouds
325,Bargur,IN,12.5424,78.3539,76.28,85,15,2.89,few clouds
326,Erzin,TR,36.9559,36.2,40.33,72,0,2.39,clear sky
327,Lebedyan,RU,53.0194,39.1664,30.96,85,96,17.67,overcast clouds
328,Otjimbingwe,NA,-22.35,16.1333,70.36,59,0,2.53,clear sky
329,Contai,IN,21.7786,87.7536,82.35,79,88,8.32,overcast clouds
330,Cedeno,CO,7.0464,-72.1634,72.95,91,100,3.24,overcast clouds
331,Mugur-Aksy,RU,50.35,90.5,18.23,64,84,4.43,broken clouds
332,Pekan,MY,3.4836,103.3996,78.91,77,9,5.55,clear sky
333,Piacabucu,BR,-10.4056,-36.4344,78.64,82,19,6.17,few clouds
334,Pacific Grove,US,36.6177,-121.9166,59.88,90,100,4,overcast clouds
335,Sampit,ID,-2.5333,112.95,85.71,69,78,3.89,broken clouds
336,Kochinda,IN,21.7333,84.35,84.33,14,35,3.89,scattered clouds
337,Durusu,TR,41.3053,28.6767,44.78,81,0,10,clear sky
338,Puerto Leguizamo,CO,-0.1934,-74.7819,72.28,99,99,1.92,overcast clouds
339,Atherton,GB,53.5237,-2.4935,49.24,81,5,1.99,clear sky
340,Kununurra,AU,-15.7667,128.7333,91.38,55,85,5.75,overcast clouds
341,Berlevag,NO,70.8578,29.0864,21,70,100,25.1,light snow
342,Mahebourg,MU,-20.4081,57.7,79.25,94,75,0,broken clouds
343,Hovd,MN,48.0056,91.6419,32.22,25,87,0.83,overcast clouds
344,Mugumu,TZ,-1.85,34.7,62.64,91,98,0.72,overcast clouds
345,Mahtomedi,US,45.0697,-92.9516,28.18,39,0,9.22,clear sky
346,Santa Barbara,US,34.7333,-120.0343,59.56,63,0,10.36,clear sky
347,Adrar,MR,20.5022,-10.0711,72.32,13,59,4.14,broken clouds
348,Brigantine,US,39.4101,-74.3646,44.06,71,46,19.66,scattered clouds
